"Start (UTC)","V_avg (km/s)","Duration (s)","Peak (abs mag)","Stations","LonBeg","LatBeg","Ht_beg (km)","LonEnd","LatEnd","Ht_end (km)","Shower","Radiant RA","Radiant DEC"
" 2023-08-12 06:35:51.966843","  63.68475","     0.36","  -0.68"," CA000F,CA002K","   -74.258685","    45.531682"," 111.6569","   -74.495036","    45.639525"," 106.8489","...","  42.29704"," -13.61495"
" 2023-08-12 06:36:09.586824","  39.53285","     0.76","  +1.36"," US0003,US0005","  -107.034648","    34.582017"," 105.5554","  -107.206752","    34.793730","  97.1220","..."," 350.63783"," -31.48234"
" 2023-08-12 06:36:19.628170","  54.93364","     0.32","  -1.89"," CA000F,CA000U","   -74.486481","    47.566096"," 107.5127","   -74.590668","    47.504897","  93.0266","Perseids","  44.48023"," +59.05546"
" 2023-08-12 06:36:52.236804","  52.09829","     0.27","  -1.70"," CA000F,CA001X,CA002H","   -74.285756","    45.113188"," 107.0299","   -74.305765","    45.131451","  95.5250","..."," 354.20197"," +34.37961"
" 2023-08-12 06:36:55.855694","  57.28030","     0.22","  +0.37"," CA000F,CA000Q,CA000R,CA002K","   -72.899071","    46.182360"," 108.1180","   -72.975022","    46.140537","  97.9953","Perseids","  45.50286"," +56.70536"
" 2023-08-12 06:37:14.531151","  60.23840","     0.36","  -2.40"," US002D,US0035","   -77.581091","    41.767128"," 106.5992","   -77.695623","    41.682862","  92.2188","Perseids","  47.66845"," +57.57524"
" 2023-08-12 06:38:18.059593","  60.87893","     0.31","  -1.59"," CA0022,CA002R","   -71.322572","    45.619446"," 108.7074","   -71.430971","    45.557407","  93.6305","Perseids","  45.61624"," +56.96261"
" 2023-08-12 06:40:45.754145","  59.65379","     0.28","  -1.41"," US002D,US0036","   -76.492966","    41.481436"," 106.2147","   -76.583594","    41.412834","  93.6074","Perseids","  44.66726"," +58.18080"
" 2023-08-12 06:42:40.089353","  39.40917","     0.41","  +0.86"," US0002,US000E,US000K","  -105.980029","    34.334085","  96.8354","  -106.075720","    34.420939","  88.5383","..."," 350.74386"," -13.55945"
" 2023-08-12 06:50:03.646553","  61.99209","     0.36","  -2.60"," US001N,US002A","   -68.493958","    40.266257"," 108.1501","   -68.613152","    40.191644","  90.1986","...","  45.37485"," +53.87283"
" 2023-08-12 06:50:22.531463","  59.73578","     0.36","  -2.73"," US001N,US002A","   -68.659493","    41.026812"," 108.8793","   -68.763985","    40.947648","  91.4946","Perseids","  44.95891"," +57.76569"
" 2023-08-12 06:51:51.396602","  57.66942","     0.32","  -0.19"," US0003,US0007,US000D,US000K,US000P","  -106.923765","    35.762400"," 109.3527","  -107.032572","    35.647000"," 100.6435","Perseids","  50.13368"," +57.34807"
" 2023-08-12 06:52:06.176485","  58.09888","     0.28","  +0.34"," US001N,US002A","   -70.689310","    41.349631"," 108.3997","   -70.756981","    41.406439","  94.3330","...","  13.50899"," +15.47936"
" 2023-08-12 06:53:28.220378","  62.74124","     0.20","  +0.45"," US001N,US002A","   -70.878811","    41.658889"," 108.3222","   -70.968290","    41.630083","  99.4320","...","  52.12830"," +43.45099"
" 2023-08-12 06:54:19.536655","  27.46462","     0.62","  +1.00"," US0003,US000P","  -107.100475","    34.807828","  98.1704","  -107.143152","    34.936463","  90.2185","..."," 331.45683"," -28.66323"
" 2023-08-12 06:55:16.048479","  52.98992","     0.24","  +0.85"," US0006,US0007","  -106.124184","    35.596408"," 109.7011","  -106.202492","    35.519218"," 104.0912","...","  52.87263"," +54.98499"
" 2023-08-12 06:55:19.564372","  22.31565","     0.84","  -0.17"," US000A,US000H,US000K,US000N,US0030","  -105.929257","    34.665385","  95.7671","  -105.912042","    34.761515","  81.0165","..."," 311.71691","  -3.96940"
" 2023-08-12 06:58:56.222018","  59.30483","     0.36","  -1.69"," CA002Q,CA002R,US0031","   -70.486324","    44.358253"," 109.6435","   -70.587932","    44.294180","  93.9493","Perseids","  47.57776"," +57.61053"
" 2023-08-12 06:59:29.765268","  55.71637","     0.32","  -1.23"," US001N,US002A","   -70.062272","    40.766591"," 106.7389","   -70.143893","    40.689764","  93.3317","...","  52.37885"," +61.69732"
" 2023-08-12 06:59:47.425523","  58.09374","     0.28","  -0.55"," US001N,US002A","   -70.218107","    42.205094"," 108.4321","   -70.300953","    42.149068","  95.2578","Perseids","  46.45032"," +56.88633"
" 2023-08-12 07:00:17.671385","  58.86513","     0.25","  -1.11"," US001N,US002A","   -69.706460","    42.180860"," 107.5783","   -69.780966","    42.128229","  95.9421","Perseids","  49.02643"," +57.62182"
" 2023-08-12 07:00:26.286426","  58.93012","     0.34","  -1.81"," CA000F,CA000V,CA002G","   -74.183575","    46.371357"," 108.9679","   -74.287834","    46.316822","  94.4397","Perseids","  46.75901"," +56.31144"
" 2023-08-12 07:02:00.021504","  58.53896","     0.21","  -1.30"," CA000F,CA001X","   -73.378313","    44.792529"," 107.9011","   -73.445790","    44.749604","  97.7331","Perseids","  47.33768"," +58.11330"
" 2023-08-12 07:03:08.329804","  62.36101","     0.42","  -1.26"," CA000F,CA000U","   -73.280115","    47.184932"," 107.4804","   -73.498447","    47.147050","  90.9917","...","  57.05272"," +38.71691"
" 2023-08-12 07:04:03.079698","  59.00686","     0.24","  -0.49"," US002D,US0036","   -76.413056","    40.890378"," 109.1977","   -76.493888","    40.832458","  98.3758","Perseids","  50.51619"," +56.66024"
" 2023-08-12 07:05:56.652930","  66.42866","     0.41","  -2.67"," US001N,US002E","   -72.075153","    41.830934"," 114.0091","   -72.310245","    41.938967"," 105.9974","...","  49.26888","  -9.29221"
" 2023-08-12 07:06:41.110987","  62.40635","     0.40","  -2.69"," CA000B,CA002Q","   -68.906846","    47.008905"," 111.1126","   -69.033425","    46.940532","  90.9453","Perseids","  48.21074"," +57.68283"
" 2023-08-12 07:09:01.420828","  61.17307","     0.44","  -1.54"," US002D,US0036","   -76.204723","    41.209683"," 111.6825","   -76.330909","    41.116739","  92.6915","Perseids","  46.75667"," +57.52537"
" 2023-08-12 07:09:18.451433","  39.98264","     0.56","  -0.76"," US0003,US0009","  -107.455682","    33.973746","  99.8303","  -107.556785","    34.072181","  82.4105","Northern delta Aquariids"," 344.57932","  +0.63188"
" 2023-08-12 07:09:37.900171","  59.76311","     0.57","  -1.61"," US0035,US003Q,US003R","   -78.850548","    39.231287"," 113.4692","   -79.024046","    39.102161","  90.1420","Perseids","  48.58401"," +56.03069"
" 2023-08-12 07:10:44.976774","  56.55822","     0.46","  -1.53"," CA000F,CA000U","   -74.014155","    47.212024"," 109.9446","   -74.165946","    47.136610","  87.7387","Perseids","  46.68289"," +56.50435"
" 2023-08-12 07:10:54.327880","  39.15307","     0.41","  +0.01"," US0003,US000H,US000J","  -107.681200","    34.807262","  98.4402","  -107.761485","    34.902639","  89.3207","Southern delta Aquariids"," 348.94902"," -14.32056"
" 2023-08-12 07:10:56.040363","  63.15653","     0.33","  -1.08"," US0038,US003P","   -77.748061","    38.626476"," 113.6051","   -77.871316","    38.581016","  96.7831","...","  37.74171"," +44.52642"
" 2023-08-12 07:11:12.891328","  60.84416","     0.40","  -1.38"," US0006,US000A,US000C,US000H,US0030","  -105.188347","    35.543051"," 111.1204","  -105.315352","    35.461597","  92.3274","AXC","  12.43500"," +50.20958"
" 2023-08-12 07:11:13.755817","  57.65522","     0.28","  -1.21"," CA000B,CA002Q","   -69.811427","    46.722623"," 107.7068","   -69.891750","    46.677548","  93.6190","Perseids","  44.42511"," +57.99834"
" 2023-08-12 07:14:46.835691","  57.99323","     0.33","  -2.27"," CA0022,US0031","   -71.441872","    45.163391"," 107.8259","   -71.537938","    45.098745","  91.7429","Perseids","  48.62692"," +59.37437"
" 2023-08-12 07:14:47.126014","  57.51897","     0.33","  -0.87"," US0035,US003M","   -78.201803","    40.637883"," 109.6908","   -78.298988","    40.565171","  95.1453","Perseids","  46.44664"," +57.35399"
" 2023-08-12 07:18:43.242496","  69.07307","     0.20","  +0.21"," US0006,US0030","  -104.779807","    35.374599"," 108.7393","  -104.867282","    35.302820"," 100.9784","...","  44.00059"," +53.40841"
" 2023-08-12 07:18:44.746571","  71.06027","     0.32","  +1.83"," US000C,US0030","  -105.970991","    34.640374"," 113.6658","  -106.146093","    34.553728"," 103.7049","ANP","  44.98161"," +39.56322"
" 2023-08-12 07:19:12.064267","  26.42678","     0.36","  +1.77"," US0038,US0039,US003N","   -77.476946","    39.288830","  90.3349","   -77.423782","    39.339378","  84.2246","..."," 321.45549","  -5.37690"
" 2023-08-12 07:19:23.043286","  40.24902","     0.45","  +0.11"," US001N,US002A","   -70.502685","    42.114050"," 100.0421","   -70.443512","    42.078029","  85.4021","..."," 326.83900"," +53.15350"
" 2023-08-12 07:19:39.867093","  55.81937","     0.89","  -1.04"," US0035,US0038,US003M,US003N,US003R","   -77.856224","    40.176956"," 110.8247","   -78.252458","    39.912483","  90.5196","...","  88.92187"," +45.96277"
